Temperature,Humidity,Carbon Monoxide,Nitrogen Dioxide,Dust (PM2.5),Dust (PM10),Date
27,66,46,0.27,44,61,2020-05-22 18:55:07
27,66,46,0.27,43,60,2020-05-22 18:55:01
27,66,46,0.27,43,60,2020-05-22 18:54:57
27,66,46,0.27,43,60,2020-05-22 18:54:51
27,66,46,0.27,43,60,2020-05-22 18:54:47
27,66,46,0.27,43,60,2020-05-22 18:54:41
27,66,46,0.27,43,60,2020-05-22 18:54:37
27,66,46,0.27,43,60,2020-05-22 18:54:31
27,66,46,0.27,43,60,2020-05-22 18:54:27
27,66,46,0.27,42,58,2020-05-22 18:54:21
27,66,46,0.27,42,58,2020-05-22 18:54:17
27,66,46,0.27,43,60,2020-05-22 18:54:11
27,66,46,0.27,43,60,2020-05-22 18:54:07
27,66,46,0.27,43,60,2020-05-22 18:54:01
27,66,46,0.27,43,60,2020-05-22 18:53:57
27,66,46,0.27,43,60,2020-05-22 18:53:51
27,66,46,0.27,43,60,2020-05-22 18:53:47
27,66,46,0.27,43,60,2020-05-22 18:53:41
27,66,46,0.27,43,60,2020-05-22 18:53:37
27,66,46,0.27,43,60,2020-05-22 18:53:31
27,66,46,0.27,43,60,2020-05-22 18:53:27
27,66,46,0.27,43,60,2020-05-22 18:53:21
27,66,46,0.27,43,60,2020-05-22 18:53:17
27,66,46,0.27,43,60,2020-05-22 18:53:11
27,66,46,0.27,43,60,2020-05-22 18:53:06
27,66,46,0.27,43,60,2020-05-22 18:53:03
27,66,46,0.27,43,60,2020-05-22 18:52:56
27,66,46,0.27,43,60,2020-05-22 18:52:52
27,66,46,0.27,43,60,2020-05-22 18:52:46
27,66,46,0.27,43,60,2020-05-22 18:52:42
27,66,46,0.27,43,60,2020-05-22 18:52:37
27,66,46,0.27,43,60,2020-05-22 18:52:32
27,66,46,0.27,43,60,2020-05-22 18:52:21
27,66,46,0.27,42,58,2020-05-22 18:51:31
27,66,46,0.27,0,0,2020-05-22 18:51:03
27,66,46,0.27,0,0,2020-05-22 18:50:50
27,66,46,0.27,0,0,2020-05-22 18:50:36
28,61,46,0.25,38,53,2020-05-22 18:49:06
28,61,46,0.25,39,54,2020-05-22 18:48:10
28,61,46,0.25,39,54,2020-05-22 18:48:07
28,61,46,0.25,39,54,2020-05-22 18:47:48
28,61,46,0.25,38,53,2020-05-22 18:47:35
28,60,46,0.25,39,54,2020-05-22 18:46:57
28,60,46,0.25,39,54,2020-05-22 18:46:36
28,60,46,0.25,39,54,2020-05-22 18:45:40
28,61,46,0.25,39,54,2020-05-22 18:45:38
28,61,46,0.25,39,54,2020-05-22 18:45:00
28,61,46,0.25,40,55,2020-05-22 18:44:58
28,61,46,0.25,39,54,2020-05-22 18:44:17
28,61,46,0.25,39,54,2020-05-22 18:44:13
28,61,46,0.25,39,54,2020-05-22 18:44:08
28,60,46,0.25,39,54,2020-05-22 18:43:55
28,60,46,0.25,39,54,2020-05-22 18:43:41
28,60,46,0.25,39,54,2020-05-22 18:43:19
28,60,46,0.25,39,54,2020-05-22 18:43:13
28,60,46,0.25,39,54,2020-05-22 18:43:09
28,60,46,0.25,39,54,2020-05-22 18:43:03
28,60,46,0.25,39,54,2020-05-22 18:42:57
